size    elitism cross   mutation time   gen     fit
1000	0.35	0.2	0.45	4785	204	22	
1000	0.35	0.2	0.45	3564	81	22	
1000	0.35	0.2	0.45	4184	119	22	
1000	0.35	0.2	0.45	4118	103	22	
2000	0.35	0.2	0.45	11184	92	22	
425	0.01	0.19	0.17	1553	85	22	
1677	0.06	0.34	0.23	6146	48	22	
1704	0.13	0.14	0.12	3538	9	22	
176	0.14	0.38	0.24	276	88	22	
735	0.18	0.48	0.26	1452	43	22	
1939	0.12	0.22	0.11	5864	23	22	
1745	0.05	0.45	0.21	14836	131	22	
1319	0.13	0.28	0.27	5112	75	22	
1565	0.03	0.07	0.02	3440	19	22	
151	0.05	0.32	0.21	343	142	22	
1226	0.14	0.46	0.06	2636	27	22	
1048	0.01	0.34	0.16	2112	29	22	
1242	0.03	0.43	0.18	6169	93	22	
1225	0.13	0.21	0.14	3579	46	22	
1288	0.07	0.3	0.39	4550	64	22	
802	0.05	0.11	0.24	1125	28	22	
156	0.01	0.13	0.18	778	366	22	
1142	0.01	0.38	0.3	2164	21	22	
915	0.11	0.06	0.24	1824	47	22	
1282	0.02	0.44	0.04	3047	24	22	
473	0.13	0.48	0.18	1331	97	22	
1917	0.08	0.24	0.13	9663	72	22	
417	0.11	0.33	0.18	944	92	22	
1000	0.16	0.49	0.28	4924	122	22	
1336	0.0	0.01	0.2	8351	253	22	
989	0.17	0.29	0.29	2082	37	22	
695	0.07	0.38	0.14	1093	33	22	
1922	0.05	0.17	0.0	5354	21	22	
608	0.11	0.39	0.15	1840	96	22	
789	0.19	0.27	0.22	2452	95	22	
238	0.01	0.35	0.03	1476	389	22	
302	0.0	0.24	0.17	303	25	22	
311	0.14	0.44	0.28	791	117	22	
913	0.11	0.4	0.16	2893	70	22	
27	0.07	0.03	0.18	1351	16386	18	
1947	0.18	0.32	0.16	4244	4	22	
259	0.18	0.32	0.04	215	31	22	
131	0.0	0.15	0.11	25571	16386	17	
532	0.04	0.34	0.21	572	23	22	
1336	0.11	0.29	0.29	3886	48	22	
524	0.02	0.37	0.15	741	38	22	
1270	0.02	0.08	0.17	2787	23	22	
1249	0.06	0.31	0.02	5724	99	22	
146	0.05	0.1	0.0	15597	16386	5	
1863	0.09	0.47	0.22	5470	21	22	
1835	0.17	0.13	0.17	4637	15	22	
648	0.0	0.05	0.04	1055	57	22	
1369	0.02	0.3	0.18	2703	16	22	
475	0.13	0.24	0.16	2551	260	22	
384	0.13	0.1	0.13	1049	149	22	
1108	0.1	0.18	0.05	2136	15	22	
157	0.09	0.32	0.22	631	250	22	
1869	0.05	0.17	0.38	5321	21	22	
514	0.1	0.02	0.31	4501	771	22	
228	0.15	0.2	0.3	938	270	22	
1006	0.15	0.01	0.16	6491	357	22	
982	0.11	0.0	0.33	185179	16386	17	
990	0.0	0.07	0.12	1844	32	22	
1907	0.1	0.24	0.28	5386	22	22	
835	0.04	0.1	0.37	1207	26	22	
268	0.01	0.19	0.0	37486	16386	13	
95	0.08	0.27	0.02	16936	16386	16	
34	0.04	0.34	0.0	6362	16386	9	
117	0.18	0.09	0.24	18	3	22	
29	0.11	0.11	0.31	2875	16386	4	
812	0.15	0.1	0.03	1803	66	22	
1202	0.12	0.36	0.36	2170	16	22	
1853	0.09	0.38	0.28	5187	21	22	
859	0.1	0.23	0.23	1779	45	22	
912	0.13	0.23	0.09	1611	33	22	
915	0.15	0.33	0.27	1865	36	22	
1731	0.13	0.48	0.18	10643	93	22	
1255	0.03	0.07	0.12	2497	26	22	
962	0.1	0.14	0.23	1539	21	22	
1461	0.19	0.3	0.32	5076	56	22	
447	0.07	0.06	0.29	482	38	22	
992	0.06	0.32	0.24	2136	35	22	
491	0.12	0.02	0.16	3741	659	22	
1625	0.06	0.18	0.29	3683	18	22	
682	0.0	0.03	0.32	741	24	22	
343	0.11	0.32	0.05	786	105	22	
1571	0.14	0.42	0.14	8785	89	22	
640	0.1	0.1	0.29	1267	71	22	
141	0.11	0.27	0.29	663	326	22	
173	0.07	0.31	0.05	387	128	22	
1603	0.18	0.06	0.27	3810	28	22	
1321	0.04	0.34	0.33	3208	22	22	
1216	0.18	0.29	0.15	4106	73	22	
1778	0.15	0.12	0.29	4887	29	22	
1811	0.19	0.09	0.34	5052	25	22	
822	0.11	0.08	0.22	1156	29	22	
268	0.08	0.15	0.16	415	80	22	
135	0.11	0.1	0.21	2987	2101	22	
588	0.02	0.27	0.22	930	43	22	
615	0.0	0.44	0.28	1382	61	22	
89	0.11	0.4	0.03	17278	16386	15	
444	0.11	0.41	0.24	623	39	22	
1655	0.0	0.3	0.16	4665	24	22	
1484	0.01	0.24	0.07	3334	22	22	
943	0.07	0.38	0.1	1225	11	22	
